,Order,Family,Species,CVal_Mean,ChromNumber_Mean,CVal_Median,ChromNumber_Median
33,Anguilliformes,Muraenidae,Gymnothorax moringa,2.4,NA,2.4,NA
34,Anguilliformes,Muraenidae,Gymnothorax nigromarginatus,2.5,NA,2.5,NA
35,Anguilliformes,Muraenidae,Gymnothorax unicolor,2.2,42,2.2,42
36,Anguilliformes,Muraenidae,Muraena helena,2.54,42,2.54,42
37,Anguilliformes,Muraenidae,Sideria picta,1.91,NA,1.91,NA
38,Atheriniformes,Atherinopsidae,Atherinomorus lacunosus,1.05,NA,1.05,NA
39,Atheriniformes,Atherinopsidae,Atherinops affinis,1.1,NA,1.1,NA
40,Atheriniformes,Atherinopsidae,Labidesthes sicculus,0.67,NA,0.67,NA
41,Atheriniformes,Melanotaeniidae,Melanotaenia fluviatilis,1.3,48,1.3,48
42,Atheriniformes,Melanotaeniidae,Melanotaenia nigrans,1.3,48,1.3,48
43,Atheriniformes,Synaphobranchidae,Diastobranchus capensis,1.62,NA,1.62,NA
44,Aulopiformes,Synodontidae,Saurida gracilis,1.565,NA,1.565,NA
45,Aulopiformes,Synodontidae,Synodus foetens,1.2,NA,1.2,NA
46,Aulopiformes,Synodontidae,Synodus lucioceps,1.225,NA,1.225,NA
47,Aulopiformes,Synodontidae,Synodus sageneus,1.34,NA,1.34,NA
48,Aulopiformes,Synodontidae,Synodus variegatus,1.64,NA,1.64,NA
49,Aulopiformes,Synodontidae,Trachinocephalus myops,0.8,NA,0.8,NA
50,Batrachoidiformes,Batrachoididae,Opsanus beta,3,NA,3,NA
51,Batrachoidiformes,Batrachoididae,Opsanus tau,2.8,NA,2.8,NA
52,Batrachoidiformes,Batrachoididae,Porichthys notatus,2.2,48,2.2,48
53,Batrachoidiformes,Batrachoididae,Porichthys porosissimus,1.7,NA,1.7,NA
54,Beloniformes,Adrianichthyidae,Oryzias celebensis,0.85,36,0.85,36
55,Beloniformes,Adrianichthyidae,Oryzias curvinotus,0.75,48,0.75,48
56,Beloniformes,Adrianichthyidae,Oryzias javanicus,0.87,48,0.87,48
57,Beloniformes,Adrianichthyidae,Oryzias latipes,1.0325,NA,1.08,NA
58,Beloniformes,Adrianichthyidae,Oryzias luzonensis,0.95,48,0.95,48
59,Beloniformes,Adrianichthyidae,Oryzias mekongensis,0.75,48,0.75,48
60,Beloniformes,Adrianichthyidae,Oryzias minutillus,0.75,30,0.75,30
61,Beloniformes,Adrianichthyidae,Oryzias sp.,0.75,48,0.75,48
62,Beloniformes,Belonidae,Platybelone argalus platyura,1,NA,1,NA
63,Beloniformes,Belonidae,Potamorrhaphis guianensis,1.2,48,1.2,48
64,Beloniformes,Belonidae,Strongylura exilis,1.1,NA,1.1,NA
65,Beloniformes,Belonidae,Strongylura incisa,1.13,48,1.13,48
66,Beloniformes,Belonidae,Strongylura marina,1.2,NA,1.2,NA
67,Beloniformes,Belonidae,Tylosurus acus,1.1,NA,1.1,NA
68,Beloniformes,Belonidae,Tylosurus crocodilus crocodilus,1.02,NA,1.02,NA
69,Beloniformes,Exocoetidae,Cypselurus agoo,0.97,48,0.97,48
70,Beloniformes,Hemiramphidae,Arrhamphus sclerolepis sclerolepis,1.01,NA,1.01,NA
71,Beloniformes,Hemiramphidae,Dermogenys pusilla,0.74,48,0.74,48
72,Beloniformes,Hemiramphidae,Euleptorhamphus viridis,1.02,NA,1.02,NA
73,Beloniformes,Hemiramphidae,Hemiramphus kurumeus,0.75,40,0.75,40
74,Beloniformes,Hemiramphidae,Hyporhamphus unifasciatus,1.1,NA,1.1,NA
75,Beloniformes,Hemiramphidae,Hyporhampus affinis,0.94,NA,0.94,NA
76,Beloniformes,Hemiramphidae,Zenarchopterus buffonis,1.22,NA,1.22,NA
77,Beryciformes,Berycidae,Beryx splendens,0.93,NA,0.93,NA
78,Beryciformes,Diretmidae,Diretmichthys parini,1.46,NA,1.46,NA
79,Beryciformes,Holocentridae,Holocentrus ascensionis,0.743333333,NA,0.66,NA
80,Beryciformes,Holocentridae,Myripristis berndti,1.01,NA,1.01,NA
81,Beryciformes,Holocentridae,Myripristis violacea,0.84,NA,0.84,NA
82,Beryciformes,Holocentridae,Neoniphon argenteus,0.73,NA,0.73,NA
83,Beryciformes,Holocentridae,Neoniphon sammara,0.82,NA,0.82,NA
84,Beryciformes,Trachichthyidae,Hoplostethus atlanticus,0.63,NA,0.63,NA
85,Ceratodontiformes,Ceratodontidae,Neoceratodus forsteri,60.73666667,NA,54.6,NA
86,Characiformes,Acestrorhynchidae,Acestrorhynchus pantaneiro,0.85,NA,0.85,NA
87,Characiformes,Acestrorhynchidae,Acestrorhynchus sp.,1.55,NA,1.55,NA
88,Characiformes,Alestiidae,Arnoldichthys spilopterus,1.2,56,1.2,56
89,Characiformes,Anostomidae,Anostomus anostomus,1.4,54,1.4,54
90,Characiformes,Anostomidae,Chilodus punctatus,1.6,NA,1.6,NA
91,Characiformes,Anostomidae,Leporinus elongatus,1.47,54,1.47,54
92,Characiformes,Anostomidae,Leporinus friderici,1.29,54,1.29,54
93,Characiformes,Anostomidae,Leporinus obtusidens,1.42,54,1.42,54
94,Characiformes,Anostomidae,Leporinus octofasciatus,1.74,54,1.74,54
95,Characiformes,Anostomidae,Leporinus piau,1.45,54,1.45,54
96,Characiformes,Anostomidae,Leporinus reinhardti,1.43,54,1.43,54
97,Characiformes,Anostomidae,Leporinus sp.,1.51,NA,1.51,NA
98,Characiformes,Anostomidae,Leporinus striatus,1.63,NA,1.63,NA
99,Characiformes,Anostomidae,Schizodon borellii,1.49,NA,1.49,NA
100,Characiformes,Anostomidae,Schizodon intermedius,1.43,54,1.43,54
101,Characiformes,Anostomidae,Schizodon nasutus,1.56,54,1.56,54
102,Characiformes,Anostomidae,Schizodon sp.,1.84,NA,1.84,NA
103,Characiformes,Characidae,Aphyocharax anisitsi,1.515,NA,1.515,NA
104,Characiformes,Characidae,Aphyocharax dentatus,1.23,NA,1.23,NA
105,Characiformes,Characidae,Astyanax abramis,1.62,50,1.62,50
106,Characiformes,Characidae,Astyanax asuncionensis,1.19,50,1.19,50
107,Characiformes,Characidae,Astyanax bimaculatus,1.41,NA,1.41,NA
108,Characiformes,Characidae,Astyanax bimaculatus lacustris,1.47,50,1.47,50
109,Characiformes,Characidae,Astyanax cf. ribeirae,1.64,NA,1.64,NA
110,Characiformes,Characidae,Astyanax fasciatus,1.565,48,1.565,48
111,Characiformes,Characidae,Astyanax scabripinnis,1.87,50,1.87,50
112,Characiformes,Characidae,Brachycalcinus copei,1.74,NA,1.74,NA
113,Characiformes,Characidae,Brycon microlepis,1.2,50,1.2,50
114,Characiformes,Characidae,Bryconamericus stramineus,1.64,52,1.64,52
115,Characiformes,Characidae,Bryconops affinis,1.1,NA,1.1,NA
116,Characiformes,Characidae,Chalceus macrolepidotus,1.065,NA,1.065,NA
117,Characiformes,Characidae,Characidium fasciatum,1.19,50,1.19,50
118,Characiformes,Characidae,Charax leticiae,1.44,NA,1.44,NA
119,Characiformes,Characidae,Colossoma macropomum,1.5,NA,1.5,NA
120,Characiformes,Characidae,Exodon paradoxus,1.7,52,1.7,52
121,Characiformes,Characidae,Galeocharax knerii,1.6,52,1.6,52
122,Characiformes,Characidae,Gymnocorymbus ternetzi,1.876666667,NA,1.86,NA
123,Characiformes,Characidae,Hemigrammus caudovittatus,1.766666667,NA,1.7,NA
124,Characiformes,Characidae,Hemigrammus erythrozonus,2.02,48,2.02,48
125,Characiformes,Characidae,Hemigrammus ocellifer,1.63,NA,1.7,NA
126,Characiformes,Characidae,Hyphessobrycon callistus,1.64,52,1.64,52
127,Characiformes,Characidae,Hyphessobrycon flammeus,1.27,52,1.27,52
128,Characiformes,Characidae,Hyphessobrycon griemi,1.28,48,1.28,48
129,Characiformes,Characidae,Hyphessobrycon pulchripinnis,1.83,48,1.83,48
130,Characiformes,Characidae,Hyphessobrycon reticulatus,1.15,50,1.15,50
131,Characiformes,Characidae,Markiana nigripinnis,1.08,52,1.08,52
132,Characiformes,Characidae,Metynnis hypsauchen,1.7,NA,1.7,NA
133,Characiformes,Characidae,Metynnis lippincottianus,1.7,62,1.7,62
134,Characiformes,Characidae,Mimagoniates microlepis,1.53,52,1.53,52
