,Order,Family,Species,CVal_Mean,ChromNumber_Mean,CVal_Median,ChromNumber_Median
287,Cypriniformes,Cyprinidae,Cyprinella trichroistia,1.14,50,1.14,50
288,Cypriniformes,Cyprinidae,Cyprinella venusta,1.21,50,1.21,50
289,Cypriniformes,Cyprinidae,Cyprinella whipplii,1.25,50,1.25,50
290,Cypriniformes,Cyprinidae,Cyprinus carpio carpio,1.79,NA,1.79,NA
291,Cypriniformes,Cyprinidae,Cyprinus carpio chilia,1.65,100,1.65,100
292,Cypriniformes,Cyprinidae,Cyprinus carpio rubrofuscus,1.7,100,1.7,100
293,Cypriniformes,Cyprinidae,Cyprinus daliensis,1.55,100,1.55,100
294,Cypriniformes,Cyprinidae,Cyprinus longipectoralis,1.85,100,1.85,100
295,Cypriniformes,Cyprinidae,Cyprinus pelligrini barbatus,1.75,100,1.75,100
296,Cypriniformes,Cyprinidae,Danio albolineatus,1.42,50,1.42,50
297,Cypriniformes,Cyprinidae,Danio malabricus,1.8,NA,1.8,NA
298,Cypriniformes,Cyprinidae,Danio rerio,1.86,NA,1.78,NA
299,Cypriniformes,Cyprinidae,Dionda argentosa,1.04,50,1.04,50
300,Cypriniformes,Cyprinidae,Dionda diaboli,1,50,1,50
301,Cypriniformes,Cyprinidae,Dionda episcopa,1.06,50,1.06,50
302,Cypriniformes,Cyprinidae,Dionda serena,0.99,50,0.99,50
303,Cypriniformes,Cyprinidae,Dionda sp.,1.01,50,1.01,50
304,Cypriniformes,Cyprinidae,Diptychus sp.,2.45,98,2.45,98
305,Cypriniformes,Cyprinidae,Elopichthys bambusa,1.05,NA,1.05,NA
306,Cypriniformes,Cyprinidae,Epalzeorhynchos bicolor,1.27,NA,1.27,NA
307,Cypriniformes,Cyprinidae,Epalzeorhynchos frenatum,1.22,NA,1.22,NA
308,Cypriniformes,Cyprinidae,Erythroculter ilishaeformis,0.91,48,0.91,48
309,Cypriniformes,Cyprinidae,Garra cambodgiensis,1.1,52,1.1,52
310,Cypriniformes,Cyprinidae,Gnathopogon elongatus,1.11,NA,1.11,NA
311,Cypriniformes,Cyprinidae,Gobio albipinnatus,1.71,50,1.71,50
312,Cypriniformes,Cyprinidae,Gobio gobio,1.59,NA,1.65,NA
313,Cypriniformes,Cyprinidae,Gobio kessleri,1.83,50,1.83,50
314,Cypriniformes,Cyprinidae,Hemibarbus labeo,1.11,NA,1.11,NA
315,Cypriniformes,Cyprinidae,Hemibarbus longirostris,1.08,50,1.08,50
316,Cypriniformes,Cyprinidae,Hemibarbus maculatus,1.15,50,1.15,50
317,Cypriniformes,Cyprinidae,Hemiculter leucisculus,1.22,48,1.22,48
318,Cypriniformes,Cyprinidae,Hemigrammocypris rasborella,0.9,48,0.9,48
319,Cypriniformes,Cyprinidae,Hemitremia flammea,1.19,50,1.19,50
320,Cypriniformes,Cyprinidae,Hybognathus placitus,1.41,50,1.41,50
321,Cypriniformes,Cyprinidae,Hypophthalmichthys molitrix,1,NA,1.01,NA
322,Cypriniformes,Cyprinidae,Ischikauia steenackeri,1.29,48,1.29,48
323,Cypriniformes,Cyprinidae,Labeo calbasu,1.04,50,1.04,50
324,Cypriniformes,Cyprinidae,Labeo chrysophekadion,1.23,NA,1.2,NA
325,Cypriniformes,Cyprinidae,Labeo rohita,1.99,50,1.99,50
326,Cypriniformes,Cyprinidae,Lavinia exilicauda,1.25,50,1.25,50
327,Cypriniformes,Cyprinidae,Leuciscus aradensis,1.18,50,1.18,50
328,Cypriniformes,Cyprinidae,Leuciscus carolitertii,1.22,50,1.22,50
329,Cypriniformes,Cyprinidae,Leuciscus cephalus,1.31,NA,1.33,NA
330,Cypriniformes,Cyprinidae,Leuciscus idus,1.4,NA,1.4,NA
